Cliente,Veiculo,Data,Inicio,Fim,Registros CAN,Km Inicial,Km Final,Km Percorrido,Consumo Combustivel (L),Horas Motor,Media Km/L,Velocidade Media,Velocidade Maxima,Temperatura Motor Media,Temperatura Motor Maxima,Temperatura Ambiente Media,Pressao Ar Media,Pressao Ar Maxima,Economia Combustivel Media,Temperatura Cabine Media
Londrina,2106,29-06-2026,29-06-2026 00:30:06,29-06-2026 00:30:30,27,,,,0,,,,,33.5,34,,,,,
Londrina,2107,27-06-2026,27-06-2026 20:41:22,27-06-2026 20:49:49,478,321832,321832,0,0,,,12.223684210526315,26,48,48,,,,,
Londrina,2107,28-06-2026,28-06-2026 15:55:35,28-06-2026 15:56:13,37,321832,321832,0,0,0,,0,0,48,48,0,0,0,0,0
Londrina,2107,29-06-2026,29-06-2026 02:59:57,29-06-2026 02:59:59,3,,,,,,,,,21,21,,,,,
Londrina,2109,28-06-2026,28-06-2026 17:25:06,28-06-2026 17:26:14,68,333088,333088,0,0,0,,0,0,53,84,0,0,0,0,0
Londrina,3002,27-06-2026,27-06-2026 21:25:40,27-06-2026 21:41:19,938,217019,217019,0,0.659,,0,9.115606936416185,26,63.92857142857143,85,28,842.4030418250951,1016,26043.802281368822,
Londrina,3002,29-06-2026,29-06-2026 02:55:21,29-06-2026 02:58:20,180,217019,217019,0,0.086,1,0,0,0,30,34,23,757.4468085106383,920,0,0
Londrina,3003,27-06-2026,27-06-2026 20:50:00,27-06-2026 21:03:47,771,215501,215501,0,0.506,0,0,8.93939393939394,24,81.66666666666667,85,37.63636363636363,975.2727272727273,1200,19841.636363636364,
Londrina,3005,27-06-2026,27-06-2026 20:18:55,27-06-2026 20:34:26,850,,,,0.659,,,9.354545454545455,22,54.90909090909091,68,23.5,893.625,1128,23812,
Londrina,3006,27-06-2026,27-06-2026 20:00:00,27-06-2026 23:59:59,13235,212166,212240,74,29.995,2,2.467077846307718,21.988083291520322,53,89.17066666666666,95,25.583756345177665,995.7144022847817,1128,17254.336240310076,
Londrina,3006,28-06-2026,28-06-2026 00:00:00,28-06-2026 05:28:00,3761,212240,212256,16,6.8,0,2.3529411764705883,23.904869762174407,67,85.0625,93,29.379746835443036,982.6100795755968,1120,17101.318777292578,0
Londrina,3006,29-06-2026,29-06-2026 02:56:57,29-06-2026 02:57:02,5,,,,0,0,,,,0,0,0,0,0,0,
Londrina,3011,27-06-2026,27-06-2026 20:00:00,27-06-2026 21:15:06,4009,200902,200927,25,10.624,1,2.3531626506024095,26.309978768577494,72,87,90,25.42222222222222,921.9710144927536,1024,13693.839285714286,
Londrina,3011,29-06-2026,29-06-2026 02:58:47,29-06-2026 02:58:51,5,200927,200927,0,0,0,,0,0,83,83,28,912,912,4000,0
Londrina,3013,27-06-2026,27-06-2026 21:29:49,27-06-2026 21:46:00,897,211034,211034,0,0.663,,0,8.732919254658386,25,69.4,81,26.5,921.1428571428571,1008,18566.309859154928,
Londrina,3013,29-06-2026,29-06-2026 02:55:29,29-06-2026 02:55:31,3,211034,211034,0,0,0,,0,0,81,81,27,912,912,0,0
Londrina,3014,27-06-2026,27-06-2026 21:08:09,27-06-2026 21:21:51,821,,,,0.786,,,11.474025974025974,27,49.371428571428574,75,25.555555555555557,880.6382978723404,1136,15982.30588235294,
Londrina,3016,28-06-2026,28-06-2026 00:27:40,28-06-2026 00:31:25,115,173749,173749,0,0.132,0,0,0,0,48,50,21,914.5531914893617,1024,0,0
Londrina,3017,28-06-2026,28-06-2026 23:58:05,28-06-2026 23:58:32,28,176093,176093,0,0.009,0,0,0,0,49,53,23,952,968,0,0
Londrina,3019,28-06-2026,28-06-2026 23:27:03,28-06-2026 23:27:22,22,177701,177701,0,0.024,0,0,0,0,45.2,46,22,1140,1144,0,0
Londrina,3020,29-06-2026,29-06-2026 02:57:45,29-06-2026 02:57:49,5,161799,161799,0,0,0,,0,0,81,81,22,400,400,0,0
Londrina,3023,27-06-2026,27-06-2026 21:06:11,27-06-2026 21:44:19,1101,178119,178119,0,0.746,0,0,9.151785714285714,22,64,79,26.5,820.6265060240963,1112,20592.68085106383,
Londrina,3023,29-06-2026,29-06-2026 02:56:06,29-06-2026 02:59:59,221,178119,178119,0,0.124,0,0,0,0,39.166666666666664,79,26.5,580.4444444444445,968,28000,0
Londrina,3028,27-06-2026,27-06-2026 21:07:03,27-06-2026 21:33:13,1567,168925,168925,0,0.628,,0,11.421052631578947,28,54.5,75,26.333333333333332,863.4567901234568,1048,26760.969696969696,
